,State,County,aqi,ghg,income,pop,plant,weather_epa,weather_meso
1115,arkansas,stfrancis,,1.0,1.0,1.0,,,
2279,arkansas,stone,,,1.0,1.0,1.0,,
47,arkansas,union,1.0,1.0,1.0,1.0,1.0,,1.0
1119,arkansas,vanburen,,1.0,1.0,1.0,,,
48,arkansas,washington,1.0,1.0,1.0,1.0,1.0,,1.0
1120,arkansas,white,,1.0,1.0,1.0,,,
1121,arkansas,woodruff,,1.0,1.0,1.0,1.0,,
1122,arkansas,yell,,1.0,1.0,1.0,,,
49,california,alameda,1.0,1.0,1.0,1.0,1.0,,1.0
50,california,alpine,1.0,,1.0,1.0,,,1.0
51,california,amador,1.0,,1.0,1.0,1.0,1.0,1.0
52,california,butte,1.0,1.0,1.0,1.0,1.0,1.0,1.0
53,california,calaveras,1.0,,1.0,1.0,1.0,1.0,1.0
54,california,colusa,1.0,1.0,1.0,1.0,1.0,1.0,1.0
55,california,contracosta,1.0,1.0,1.0,1.0,1.0,,1.0
56,california,delnorte,1.0,,1.0,1.0,,,1.0
57,california,eldorado,1.0,,1.0,1.0,1.0,1.0,1.0
58,california,fresno,1.0,1.0,1.0,1.0,1.0,1.0,1.0
59,california,glenn,1.0,,1.0,1.0,1.0,1.0,1.0
60,california,humboldt,1.0,1.0,1.0,1.0,1.0,,1.0
61,california,imperial,1.0,1.0,1.0,1.0,1.0,1.0,1.0
62,california,inyo,1.0,,1.0,1.0,1.0,1.0,1.0
63,california,kern,1.0,1.0,1.0,1.0,1.0,1.0,1.0
64,california,kings,1.0,1.0,1.0,1.0,1.0,1.0,1.0
65,california,lake,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2280,california,lassen,,,1.0,1.0,1.0,,
66,california,losangeles,1.0,1.0,1.0,1.0,1.0,1.0,1.0
67,california,madera,1.0,1.0,1.0,1.0,1.0,1.0,1.0
68,california,marin,1.0,1.0,1.0,1.0,1.0,,1.0
69,california,mariposa,1.0,,1.0,1.0,1.0,1.0,1.0
70,california,mendocino,1.0,1.0,1.0,1.0,1.0,,1.0
71,california,merced,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2121,california,modoc,,1.0,1.0,1.0,,,
72,california,mono,1.0,,1.0,1.0,1.0,1.0,1.0
73,california,monterey,1.0,1.0,1.0,1.0,1.0,1.0,1.0
74,california,napa,1.0,1.0,1.0,1.0,1.0,,1.0
75,california,nevada,1.0,,1.0,1.0,1.0,,1.0
76,california,orange,1.0,1.0,1.0,1.0,1.0,1.0,1.0
77,california,placer,1.0,1.0,1.0,1.0,1.0,1.0,1.0
78,california,plumas,1.0,,1.0,1.0,1.0,,1.0
79,california,riverside,1.0,1.0,1.0,1.0,1.0,1.0,1.0
80,california,sacramento,1.0,1.0,1.0,1.0,1.0,1.0,1.0
81,california,sanbenito,1.0,1.0,1.0,1.0,1.0,1.0,1.0
82,california,sanbernardino,1.0,1.0,1.0,1.0,1.0,1.0,1.0
